1265,3734232094
1266,3729785181
1267,3725323374
1268,3720846716
1269,3716355248
1270,3711849014
1271,3707328056
1272,3702792415
1273,3698242136
1274,3693677260
1275,3689097831
1276,3684503891
1277,3679895485
1278,3675272655
1279,3670635444
1280,3665983897
1281,3661318058
1282,3656637970
1283,3651943677
1284,3647235223
1285,3642512653
1286,3637776012
1287,3633025343
1288,3628260692
1289,3623482103
1290,3618689622
1291,3613883292
1292,3609063161
1293,3604229273
1294,3599381673
1295,3594520407
1296,3589645522
1297,3584757062
1298,3579855074
1299,3574939604
1300,3570010698
1301,3565068403
1302,3560112765
1303,3555143831
1304,3550161647
1305,3545166261
1306,3540157719
1307,3535136069
1308,3530101358
1309,3525053633
1310,3519992942
1311,3514919332
1312,3509832852
1313,3504733548
1314,3499621470
1315,3494496664
1316,3489359181
1317,3484209066
1318,3479046371
1319,3473871142
1320,3468683428
1321,3463483279
1322,3458270743
